preimg,postimg,flood,building,road,roadspeed
/tmp/share/data/spacenet8/Louisiana-East_Training_Public/PRE-event/10400100684A4B00_1_5_98.tif,/tmp/share/data/spacenet8/Louisiana-East_Training_Public/POST-event/10300100C46F5900_1_5_98.tif,/tmp/share/data/spacenet8/Louisiana-East_Training_Public/annotations/masks/flood_10400100684A4B00_1_5_98.tif,/tmp/share/data/spacenet8/Louisiana-East_Training_Public/annotations/masks/building_10400100684A4B00_1_5_98.tif,/tmp/share/data/spacenet8/Louisiana-East_Training_Public/annotations/masks/road_10400100684A4B00_1_5_98.tif,/tmp/share/data/spacenet8/Louisiana-East_Training_Public/annotations/masks/roadspeed_10400100684A4B00_1_5_98.tif
/tmp/share/data/spacenet8/Germany_Training_Public/PRE-event/10500500C4DD7000_0_26_68.tif,/tmp/share/data/spacenet8/Germany_Training_Public/POST-event/1040050035DC3B00_0_26_68.tif,/tmp/share/data/spacenet8/Germany_Training_Public/annotations/masks/flood_10500500C4DD7000_0_26_68.tif,/tmp/share/data/spacenet8/Germany_Training_Public/annotations/masks/building_10500500C4DD7000_0_26_68.tif,/tmp/share/data/spacenet8/Germany_Training_Public/annotations/masks/road_10500500C4DD7000_0_26_68.tif,/tmp/share/data/spacenet8/Germany_Training_Public/annotations/masks/roadspeed_10500500C4DD7000_0_26_68.tif
/tmp/share/data/spacenet8/Germany_Training_Public/PRE-event/10500500C4DD7000_0_28_64.tif,/tmp/share/data/spacenet8/Germany_Training_Public/POST-event/1040050035DC3B00_0_28_64.tif,/tmp/share/data/spacenet8/Germany_Training_Public/annotations/masks/flood_10500500C4DD7000_0_28_64.tif,/tmp/share/data/spacenet8/Germany_Training_Public/annotations/masks/building_10500500C4DD7000_0_28_64.tif,/tmp/share/data/spacenet8/Germany_Training_Public/annotations/masks/road_10500500C4DD7000_0_28_64.tif,/tmp/share/data/spacenet8/Germany_Training_Public/annotations/masks/roadspeed_10500500C4DD7000_0_28_64.tif
/tmp/share/data/spacenet8/Louisiana-East_Training_Public/PRE-event/105001001A0FFC00_0_20_11.tif,/tmp/share/data/spacenet8/Louisiana-East_Training_Public/POST-event/10300100C46F5900_0_20_11.tif,/tmp/share/data/spacenet8/Louisiana-East_Training_Public/annotations/masks/flood_105001001A0FFC00_0_20_11.tif,/tmp/share/data/spacenet8/Louisiana-East_Training_Public/annotations/masks/building_105001001A0FFC00_0_20_11.tif,/tmp/share/data/spacenet8/Louisiana-East_Training_Public/annotations/masks/road_105001001A0FFC00_0_20_11.tif,/tmp/share/data/spacenet8/Louisiana-East_Training_Public/annotations/masks/roadspeed_105001001A0FFC00_0_20_11.tif
/tmp/share/data/spacenet8/Germany_Training_Public/PRE-event/10500500C4DD7000_0_28_59.tif,/tmp/share/data/spacenet8/Germany_Training_Public/POST-event/10500500E6DD3C00_0_28_59.tif,/tmp/share/data/spacenet8/Germany_Training_Public/annotations/masks/flood_10500500C4DD7000_0_28_59.tif,/tmp/share/data/spacenet8/Germany_Training_Public/annotations/masks/building_10500500C4DD7000_0_28_59.tif,/tmp/share/data/spacenet8/Germany_Training_Public/annotations/masks/road_10500500C4DD7000_0_28_59.tif,/tmp/share/data/spacenet8/Germany_Training_Public/annotations/masks/roadspeed_10500500C4DD7000_0_28_59.tif
/tmp/share/data/spacenet8/Germany_Training_Public/PRE-event/10500500C4DD7000_0_41_61.tif,/tmp/share/data/spacenet8/Germany_Training_Public/POST-event/10500500E6DD3C00_0_41_61.tif,/tmp/share/data/spacenet8/Germany_Training_Public/annotations/masks/flood_10500500C4DD7000_0_41_61.tif,/tmp/share/data/spacenet8/Germany_Training_Public/annotations/masks/building_10500500C4DD7000_0_41_61.tif,/tmp/share/data/spacenet8/Germany_Training_Public/annotations/masks/road_10500500C4DD7000_0_41_61.tif,/tmp/share/data/spacenet8/Germany_Training_Public/annotations/masks/roadspeed_10500500C4DD7000_0_41_61.tif
/tmp/share/data/spacenet8/Louisiana-East_Training_Public/PRE-event/10300100AF395C00_2_16_50.tif,/tmp/share/data/spacenet8/Louisiana-East_Training_Public/POST-event/10300100C46F5900_2_16_50.tif,/tmp/share/data/spacenet8/Louisiana-East_Training_Public/annotations/masks/flood_10300100AF395C00_2_16_50.tif,/tmp/share/data/spacenet8/Louisiana-East_Training_Public/annotations/masks/building_10300100AF395C00_2_16_50.tif,/tmp/share/data/spacenet8/Louisiana-East_Training_Public/annotations/masks/road_10300100AF395C00_2_16_50.tif,/tmp/share/data/spacenet8/Louisiana-East_Training_Public/annotations/masks/roadspeed_10300100AF395C00_2_16_50.tif
/tmp/share/data/spacenet8/Germany_Training_Public/PRE-event/10500500C4DD7000_0_45_63.tif,/tmp/share/data/spacenet8/Germany_Training_Public/POST-event/10500500E6DD3C00_0_45_63.tif,/tmp/share/data/spacenet8/Germany_Training_Public/annotations/masks/flood_10500500C4DD7000_0_45_63.tif,/tmp/share/data/spacenet8/Germany_Training_Public/annotations/masks/building_10500500C4DD7000_0_45_63.tif,/tmp/share/data/spacenet8/Germany_Training_Public/annotations/masks/road_10500500C4DD7000_0_45_63.tif,/tmp/share/data/spacenet8/Germany_Training_Public/annotations/masks/roadspeed_10500500C4DD7000_0_45_63.tif
/tmp/share/data/spacenet8/Louisiana-East_Training_Public/PRE-event/10400100684A4B00_1_24_75.tif,/tmp/share/data/spacenet8/Louisiana-East_Training_Public/POST-event/10300100C46F5900_1_24_75.tif,/tmp/share/data/spacenet8/Louisiana-East_Training_Public/annotations/masks/flood_10400100684A4B00_1_24_75.tif,/tmp/share/data/spacenet8/Louisiana-East_Training_Public/annotations/masks/building_10400100684A4B00_1_24_75.tif,/tmp/share/data/spacenet8/Louisiana-East_Training_Public/annotations/masks/road_10400100684A4B00_1_24_75.tif,/tmp/share/data/spacenet8/Louisiana-East_Training_Public/annotations/masks/roadspeed_10400100684A4B00_1_24_75.tif
/tmp/share/data/spacenet8/Louisiana-East_Training_Public/PRE-event/10400100684A4B00_1_22_74.tif,/tmp/share/data/spacenet8/Louisiana-East_Training_Public/POST-event/10300100C46F5900_1_22_74.tif,/tmp/share/data/spacenet8/Louisiana-East_Training_Public/annotations/masks/flood_10400100684A4B00_1_22_74.tif,/tmp/share/data/spacenet8/Louisiana-East_Training_Public/annotations/masks/building_10400100684A4B00_1_22_74.tif,/tmp/share/data/spacenet8/Louisiana-East_Training_Public/annotations/masks/road_10400100684A4B00_1_22_74.tif,/tmp/share/data/spacenet8/Louisiana-East_Training_Public/annotations/masks/roadspeed_10400100684A4B00_1_22_74.tif
/tmp/share/data/spacenet8/Louisiana-East_Training_Public/PRE-event/105001001A0FFC00_0_17_14.tif,/tmp/share/data/spacenet8/Louisiana-East_Training_Public/POST-event/10300100C46F5900_0_17_14.tif,/tmp/share/data/spacenet8/Louisiana-East_Training_Public/annotations/masks/flood_105001001A0FFC00_0_17_14.tif,/tmp/share/data/spacenet8/Louisiana-East_Training_Public/annotations/masks/building_105001001A0FFC00_0_17_14.tif,/tmp/share/data/spacenet8/Louisiana-East_Training_Public/annotations/masks/road_105001001A0FFC00_0_17_14.tif,/tmp/share/data/spacenet8/Louisiana-East_Training_Public/annotations/masks/roadspeed_105001001A0FFC00_0_17_14.tif
/tmp/share/data/spacenet8/Louisiana-East_Training_Public/PRE-event/10300100AF395C00_2_17_51.tif,/tmp/share/data/spacenet8/Louisiana-East_Training_Public/POST-event/10300100C46F5900_2_17_51.tif,/tmp/share/data/spacenet8/Louisiana-East_Training_Public/annotations/masks/flood_10300100AF395C00_2_17_51.tif,/tmp/share/data/spacenet8/Louisiana-East_Training_Public/annotations/masks/building_10300100AF395C00_2_17_51.tif,/tmp/share/data/spacenet8/Louisiana-East_Training_Public/annotations/masks/road_10300100AF395C00_2_17_51.tif,/tmp/share/data/spacenet8/Louisiana-East_Training_Public/annotations/masks/roadspeed_10300100AF395C00_2_17_51.tif
/tmp/share/data/spacenet8/Louisiana-East_Training_Public/PRE-event/10400100684A4B00_1_12_74.tif,/tmp/share/data/spacenet8/Louisiana-East_Training_Public/POST-event/10300100C46F5900_1_12_74.tif,/tmp/share/data/spacenet8/Louisiana-East_Training_Public/annotations/masks/flood_10400100684A4B00_1_12_74.tif,/tmp/share/data/spacenet8/Louisiana-East_Training_Public/annotations/masks/building_10400100684A4B00_1_12_74.tif,/tmp/share/data/spacenet8/Louisiana-East_Training_Public/annotations/masks/road_10400100684A4B00_1_12_74.tif,/tmp/share/data/spacenet8/Louisiana-East_Training_Public/annotations/masks/roadspeed_10400100684A4B00_1_12_74.tif
/tmp/share/data/spacenet8/Germany_Training_Public/PRE-event/10500500C4DD7000_0_36_61.tif,/tmp/share/data/spacenet8/Germany_Training_Public/POST-event/10500500E6DD3C00_0_36_61.tif,/tmp/share/data/spacenet8/Germany_Training_Public/annotations/masks/flood_10500500C4DD7000_0_36_61.tif,/tmp/share/data/spacenet8/Germany_Training_Public/annotations/masks/building_10500500C4DD7000_0_36_61.tif,/tmp/share/data/spacenet8/Germany_Training_Public/annotations/masks/road_10500500C4DD7000_0_36_61.tif,/tmp/share/data/spacenet8/Germany_Training_Public/annotations/masks/roadspeed_10500500C4DD7000_0_36_61.tif
/tmp/share/data/spacenet8/Louisiana-East_Training_Public/PRE-event/10400100684A4B00_1_8_94.tif,/tmp/share/data/spacenet8/Louisiana-East_Training_Public/POST-event/10300100C46F5900_1_8_94.tif,/tmp/share/data/spacenet8/Louisiana-East_Training_Public/annotations/masks/flood_10400100684A4B00_1_8_94.tif,/tmp/share/data/spacenet8/Louisiana-East_Training_Public/annotations/masks/building_10400100684A4B00_1_8_94.tif,/tmp/share/data/spacenet8/Louisiana-East_Training_Public/annotations/masks/road_10400100684A4B00_1_8_94.tif,/tmp/share/data/spacenet8/Louisiana-East_Training_Public/annotations/masks/roadspeed_10400100684A4B00_1_8_94.tif
/tmp/share/data/spacenet8/Louisiana-East_Training_Public/PRE-event/105001001A0FFC00_0_16_4.tif,/tmp/share/data/spacenet8/Louisiana-East_Training_Public/POST-event/10300100C46F5900_0_16_4.tif,/tmp/share/data/spacenet8/Louisiana-East_Training_Public/annotations/masks/flood_105001001A0FFC00_0_16_4.tif,/tmp/share/data/spacenet8/Louisiana-East_Training_Public/annotations/masks/building_105001001A0FFC00_0_16_4.tif,/tmp/share/data/spacenet8/Louisiana-East_Training_Public/annotations/masks/road_105001001A0FFC00_0_16_4.tif,/tmp/share/data/spacenet8/Louisiana-East_Training_Public/annotations/masks/roadspeed_105001001A0FFC00_0_16_4.tif
/tmp/share/data/spacenet8/Louisiana-East_Training_Public/PRE-event/10300100AF395C00_2_19_43.tif,/tmp/share/data/spacenet8/Louisiana-East_Training_Public/POST-event/10300100C46F5900_2_19_43.tif,/tmp/share/data/spacenet8/Louisiana-East_Training_Public/annotations/masks/flood_10300100AF395C00_2_19_43.tif,/tmp/share/data/spacenet8/Louisiana-East_Training_Public/annotations/masks/building_10300100AF395C00_2_19_43.tif,/tmp/share/data/spacenet8/Louisiana-East_Training_Public/annotations/masks/road_10300100AF395C00_2_19_43.tif,/tmp/share/data/spacenet8/Louisiana-East_Training_Public/annotations/masks/roadspeed_10300100AF395C00_2_19_43.tif
/tmp/share/data/spacenet8/Germany_Training_Public/PRE-event/10500500C4DD7000_0_41_60.tif,/tmp/share/data/spacenet8/Germany_Training_Public/POST-event/10500500E6DD3C00_0_41_60.tif,/tmp/share/data/spacenet8/Germany_Training_Public/annotations/masks/flood_10500500C4DD7000_0_41_60.tif,/tmp/share/data/spacenet8/Germany_Training_Public/annotations/masks/building_10500500C4DD7000_0_41_60.tif,/tmp/share/data/spacenet8/Germany_Training_Public/annotations/masks/road_10500500C4DD7000_0_41_60.tif,/tmp/share/data/spacenet8/Germany_Training_Public/annotations/masks/roadspeed_10500500C4DD7000_0_41_60.tif
/tmp/share/data/spacenet8/Germany_Training_Public/PRE-event/10500500C4DD7000_0_16_67.tif,/tmp/share/data/spacenet8/Germany_Training_Public/POST-event/1040050035DC3B00_0_16_67.tif,/tmp/share/data/spacenet8/Germany_Training_Public/annotations/masks/flood_10500500C4DD7000_0_16_67.tif,/tmp/share/data/spacenet8/Germany_Training_Public/annotations/masks/building_10500500C4DD7000_0_16_67.tif,/tmp/share/data/spacenet8/Germany_Training_Public/annotations/masks/road_10500500C4DD7000_0_16_67.tif,/tmp/share/data/spacenet8/Germany_Training_Public/annotations/masks/roadspeed_10500500C4DD7000_0_16_67.tif
/tmp/share/data/spacenet8/Louisiana-East_Training_Public/PRE-event/10300100AF395C00_2_19_63.tif,/tmp/share/data/spacenet8/Louisiana-East_Training_Public/POST-event/10300100C46F5900_2_19_63.tif,/tmp/share/data/spacenet8/Louisiana-East_Training_Public/annotations/masks/flood_10300100AF395C00_2_19_63.tif,/tmp/share/data/spacenet8/Louisiana-East_Training_Public/annotations/masks/building_10300100AF395C00_2_19_63.tif,/tmp/share/data/spacenet8/Louisiana-East_Training_Public/annotations/masks/road_10300100AF395C00_2_19_63.tif,/tmp/share/data/spacenet8/Louisiana-East_Training_Public/annotations/masks/roadspeed_10300100AF395C00_2_19_63.tif
/tmp/share/data/spacenet8/Louisiana-East_Training_Public/PRE-event/105001001A0FFC00_0_14_18.tif,/tmp/share/data/spacenet8/Louisiana-East_Training_Public/POST-event/10300100C46F5900_0_14_18.tif,/tmp/share/data/spacenet8/Louisiana-East_Training_Public/annotations/masks/flood_105001001A0FFC00_0_14_18.tif,/tmp/share/data/spacenet8/Louisiana-East_Training_Public/annotations/masks/building_105001001A0FFC00_0_14_18.tif,/tmp/share/data/spacenet8/Louisiana-East_Training_Public/annotations/masks/road_105001001A0FFC00_0_14_18.tif,/tmp/share/data/spacenet8/Louisiana-East_Training_Public/annotations/masks/roadspeed_105001001A0FFC00_0_14_18.tif
/tmp/share/data/spacenet8/Louisiana-East_Training_Public/PRE-event/105001001A0FFC00_0_12_13.tif,/tmp/share/data/spacenet8/Louisiana-East_Training_Public/POST-event/10300100C46F5900_0_12_13.tif,/tmp/share/data/spacenet8/Louisiana-East_Training_Public/annotations/masks/flood_105001001A0FFC00_0_12_13.tif,/tmp/share/data/spacenet8/Louisiana-East_Training_Public/annotations/masks/building_105001001A0FFC00_0_12_13.tif,/tmp/share/data/spacenet8/Louisiana-East_Training_Public/annotations/masks/road_105001001A0FFC00_0_12_13.tif,/tmp/share/data/spacenet8/Louisiana-East_Training_Public/annotations/masks/roadspeed_105001001A0FFC00_0_12_13.tif
/tmp/share/data/spacenet8/Louisiana-East_Training_Public/PRE-event/10300100AF395C00_2_18_62.tif,/tmp/share/data/spacenet8/Louisiana-East_Training_Public/POST-event/10300100C46F5900_2_18_62.tif,/tmp/share/data/spacenet8/Louisiana-East_Training_Public/annotations/masks/flood_10300100AF395C00_2_18_62.tif,/tmp/share/data/spacenet8/Louisiana-East_Training_Public/annotations/masks/building_10300100AF395C00_2_18_62.tif,/tmp/share/data/spacenet8/Louisiana-East_Training_Public/annotations/masks/road_10300100AF395C00_2_18_62.tif,/tmp/share/data/spacenet8/Louisiana-East_Training_Public/annotations/masks/roadspeed_10300100AF395C00_2_18_62.tif
/tmp/share/data/spacenet8/Louisiana-East_Training_Public/PRE-event/10300100AF395C00_2_23_45.tif,/tmp/share/data/spacenet8/Louisiana-East_Training_Public/POST-event/10300100C46F5900_2_23_45.tif,/tmp/share/data/spacenet8/Louisiana-East_Training_Public/annotations/masks/flood_10300100AF395C00_2_23_45.tif,/tmp/share/data/spacenet8/Louisiana-East_Training_Public/annotations/masks/building_10300100AF395C00_2_23_45.tif,/tmp/share/data/spacenet8/Louisiana-East_Training_Public/annotations/masks/road_10300100AF395C00_2_23_45.tif,/tmp/share/data/spacenet8/Louisiana-East_Training_Public/annotations/masks/roadspeed_10300100AF395C00_2_23_45.tif
/tmp/share/data/spacenet8/Louisiana-East_Training_Public/PRE-event/10300100AF395C00_2_18_41.tif,/tmp/share/data/spacenet8/Louisiana-East_Training_Public/POST-event/10300100C46F5900_2_18_41.tif,/tmp/share/data/spacenet8/Louisiana-East_Training_Public/annotations/masks/flood_10300100AF395C00_2_18_41.tif,/tmp/share/data/spacenet8/Louisiana-East_Training_Public/annotations/masks/building_10300100AF395C00_2_18_41.tif,/tmp/share/data/spacenet8/Louisiana-East_Training_Public/annotations/masks/road_10300100AF395C00_2_18_41.tif,/tmp/share/data/spacenet8/Louisiana-East_Training_Public/annotations/masks/roadspeed_10300100AF395C00_2_18_41.tif
/tmp/share/data/spacenet8/Germany_Training_Public/PRE-event/10500500C4DD7000_0_44_63.tif,/tmp/share/data/spacenet8/Germany_Training_Public/POST-event/10500500E6DD3C00_0_44_63.tif,/tmp/share/data/spacenet8/Germany_Training_Public/annotations/masks/flood_10500500C4DD7000_0_44_63.tif,/tmp/share/data/spacenet8/Germany_Training_Public/annotations/masks/building_10500500C4DD7000_0_44_63.tif,/tmp/share/data/spacenet8/Germany_Training_Public/annotations/masks/road_10500500C4DD7000_0_44_63.tif,/tmp/share/data/spacenet8/Germany_Training_Public/annotations/masks/roadspeed_10500500C4DD7000_0_44_63.tif
/tmp/share/data/spacenet8/Louisiana-East_Training_Public/PRE-event/10400100684A4B00_1_20_77.tif,/tmp/share/data/spacenet8/Louisiana-East_Training_Public/POST-event/10300100C46F5900_1_20_77.tif,/tmp/share/data/spacenet8/Louisiana-East_Training_Public/annotations/masks/flood_10400100684A4B00_1_20_77.tif,/tmp/share/data/spacenet8/Louisiana-East_Training_Public/annotations/masks/building_10400100684A4B00_1_20_77.tif,/tmp/share/data/spacenet8/Louisiana-East_Training_Public/annotations/masks/road_10400100684A4B00_1_20_77.tif,/tmp/share/data/spacenet8/Louisiana-East_Training_Public/annotations/masks/roadspeed_10400100684A4B00_1_20_77.tif
/tmp/share/data/spacenet8/Germany_Training_Public/PRE-event/10500500C4DD7000_0_15_66.tif,/tmp/share/data/spacenet8/Germany_Training_Public/POST-event/1040050035DC3B00_0_15_66.tif,/tmp/share/data/spacenet8/Germany_Training_Public/annotations/masks/flood_10500500C4DD7000_0_15_66.tif,/tmp/share/data/spacenet8/Germany_Training_Public/annotations/masks/building_10500500C4DD7000_0_15_66.tif,/tmp/share/data/spacenet8/Germany_Training_Public/annotations/masks/road_10500500C4DD7000_0_15_66.tif,/tmp/share/data/spacenet8/Germany_Training_Public/annotations/masks/roadspeed_10500500C4DD7000_0_15_66.tif
/tmp/share/data/spacenet8/Louisiana-East_Training_Public/PRE-event/10400100684A4B00_1_21_78.tif,/tmp/share/data/spacenet8/Louisiana-East_Training_Public/POST-event/10300100C46F5900_1_21_78.tif,/tmp/share/data/spacenet8/Louisiana-East_Training_Public/annotations/masks/flood_10400100684A4B00_1_21_78.tif,/tmp/share/data/spacenet8/Louisiana-East_Training_Public/annotations/masks/building_10400100684A4B00_1_21_78.tif,/tmp/share/data/spacenet8/Louisiana-East_Training_Public/annotations/masks/road_10400100684A4B00_1_21_78.tif,/tmp/share/data/spacenet8/Louisiana-East_Training_Public/annotations/masks/roadspeed_10400100684A4B00_1_21_78.tif
/tmp/share/data/spacenet8/Louisiana-East_Training_Public/PRE-event/10400100684A4B00_1_10_98.tif,/tmp/share/data/spacenet8/Louisiana-East_Training_Public/POST-event/10300100C46F5900_1_10_98.tif,/tmp/share/data/spacenet8/Louisiana-East_Training_Public/annotations/masks/flood_10400100684A4B00_1_10_98.tif,/tmp/share/data/spacenet8/Louisiana-East_Training_Public/annotations/masks/building_10400100684A4B00_1_10_98.tif,/tmp/share/data/spacenet8/Louisiana-East_Training_Public/annotations/masks/road_10400100684A4B00_1_10_98.tif,/tmp/share/data/spacenet8/Louisiana-East_Training_Public/annotations/masks/roadspeed_10400100684A4B00_1_10_98.tif
/tmp/share/data/spacenet8/Germany_Training_Public/PRE-event/10500500C4DD7000_0_31_63.tif,/tmp/share/data/spacenet8/Germany_Training_Public/POST-event/10500500E6DD3C00_0_31_63.tif,/tmp/share/data/spacenet8/Germany_Training_Public/annotations/masks/flood_10500500C4DD7000_0_31_63.tif,/tmp/share/data/spacenet8/Germany_Training_Public/annotations/masks/building_10500500C4DD7000_0_31_63.tif,/tmp/share/data/spacenet8/Germany_Training_Public/annotations/masks/road_10500500C4DD7000_0_31_63.tif,/tmp/share/data/spacenet8/Germany_Training_Public/annotations/masks/roadspeed_10500500C4DD7000_0_31_63.tif
/tmp/share/data/spacenet8/Louisiana-East_Training_Public/PRE-event/10400100684A4B00_1_23_73.tif,/tmp/share/data/spacenet8/Louisiana-East_Training_Public/POST-event/10300100C46F5900_1_23_73.tif,/tmp/share/data/spacenet8/Louisiana-East_Training_Public/annotations/masks/flood_10400100684A4B00_1_23_73.tif,/tmp/share/data/spacenet8/Louisiana-East_Training_Public/annotations/masks/building_10400100684A4B00_1_23_73.tif,/tmp/share/data/spacenet8/Louisiana-East_Training_Public/annotations/masks/road_10400100684A4B00_1_23_73.tif,/tmp/share/data/spacenet8/Louisiana-East_Training_Public/annotations/masks/roadspeed_10400100684A4B00_1_23_73.tif
/tmp/share/data/spacenet8/Louisiana-East_Training_Public/PRE-event/10400100684A4B00_1_26_71.tif,/tmp/share/data/spacenet8/Louisiana-East_Training_Public/POST-event/10300100C46F5900_1_26_71.tif,/tmp/share/data/spacenet8/Louisiana-East_Training_Public/annotations/masks/flood_10400100684A4B00_1_26_71.tif,/tmp/share/data/spacenet8/Louisiana-East_Training_Public/annotations/masks/building_10400100684A4B00_1_26_71.tif,/tmp/share/data/spacenet8/Louisiana-East_Training_Public/annotations/masks/road_10400100684A4B00_1_26_71.tif,/tmp/share/data/spacenet8/Louisiana-East_Training_Public/annotations/masks/roadspeed_10400100684A4B00_1_26_71.tif
